tag,name,flag,flag_square,flag_round
Australia,Australia,https//cdn.countryflags.com/thumbs/australia/flag-400.png,https//cdn.countryflags.com/thumbs/australia/flag-square-250.png,https//cdn.countryflags.com/thumbs/australia/flag-round-250.png
Nicaragua,Nicaragua,https//cdn.countryflags.com/thumbs/nicaragua/flag-400.png,https//cdn.countryflags.com/thumbs/nicaragua/flag-square-250.png,https//cdn.countryflags.com/thumbs/nicaragua/flag-round-250.png
Palau,Palau,https//cdn.countryflags.com/thumbs/palau/flag-400.png,https//cdn.countryflags.com/thumbs/palau/flag-square-250.png,https//cdn.countryflags.com/thumbs/palau/flag-round-250.png
San_Marino,San Marino,https//cdn.countryflags.com/thumbs/san-marino/flag-400.png,https//cdn.countryflags.com/thumbs/san-marino/flag-square-250.png,https//cdn.countryflags.com/thumbs/san-marino/flag-round-250.png
Turkmenistan,Turkmenistan,https//cdn.countryflags.com/thumbs/turkmenistan/flag-400.png,https//cdn.countryflags.com/thumbs/turkmenistan/flag-square-250.png,https//cdn.countryflags.com/thumbs/turkmenistan/flag-round-250.png
Mauritius,Mauritius,https//cdn.countryflags.com/thumbs/mauritius/flag-400.png,https//cdn.countryflags.com/thumbs/mauritius/flag-square-250.png,https//cdn.countryflags.com/thumbs/mauritius/flag-round-250.png
Angola,Angola,https//cdn.countryflags.com/thumbs/angola/flag-400.png,https//cdn.countryflags.com/thumbs/angola/flag-square-250.png,https//cdn.countryflags.com/thumbs/angola/flag-round-250.png
Singapore,Singapore,https//cdn.countryflags.com/thumbs/singapore/flag-400.png,https//cdn.countryflags.com/thumbs/singapore/flag-square-250.png,https//cdn.countryflags.com/thumbs/singapore/flag-round-250.png
Slovenia,Slovenia,https//cdn.countryflags.com/thumbs/slovenia/flag-400.png,https//cdn.countryflags.com/thumbs/slovenia/flag-square-250.png,https//cdn.countryflags.com/thumbs/slovenia/flag-round-250.png
Ireland,Ireland,https//cdn.countryflags.com/thumbs/ireland/flag-400.png,https//cdn.countryflags.com/thumbs/ireland/flag-square-250.png,https//cdn.countryflags.com/thumbs/ireland/flag-round-250.png
